8243 external/tcmalloc+/tcmalloc/internal/system_allocator.h:713] Warning: Unable to mbind memory (errno=1, base=0x535f80000000, nodemask=1)
ARM optskip_noshadow_rows16 rows 16 mode IDENTICAL
PRICE shipped 0 8192x768 kernel.backward 0.283804
PRICE shipped 0 8192x768 kernel.backward 0.285504
PRICE shipped 0 8192x768 host.forward 4.316509
PRICE shipped 0 8192x768 host.forward 3.282768
PRICE shipped 0 8192x768 host.forward 3.051879
PRICE shipped 0 8192x768 host.backward 6.37018
PRICE shipped 0 8192x768 host.backward 6.277248
PRICE shipped 0 8192x768 host.backward 5.682017
8347 external/tcmalloc+/tcmalloc/internal/system_allocator.h:713] Warning: Unable to mbind memory (errno=1, base=0x310c80000000, nodemask=1)
ARM optskip_noshadow_rows16 rows 16 mode IDENTICAL
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.020475
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.018685
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.017989
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.018495
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.018
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.018256
PRICE optskip_noshadow_rows16 16 512x64 kernel.forward 0.018566
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.052834
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.050757
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.051022
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.050497
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.050532
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.051725
PRICE optskip_noshadow_rows16 16 512x64 kernel.backward 0.050804
PRICE optskip_noshadow_rows16 16 512x64 host.forward 0.0724
PRICE optskip_noshadow_rows16 16 512x64 host.forward 0.065893
PRICE optskip_noshadow_rows16 16 512x64 host.forward 0.065189
PRICE optskip_noshadow_rows16 16 512x64 host.backward 0.169208
PRICE optskip_noshadow_rows16 16 512x64 host.backward 0.169444
PRICE optskip_noshadow_rows16 16 512x64 host.backward 0.167998
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.082322
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.082307
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.082344
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.082458
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.081949
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.082659
PRICE optskip_noshadow_rows16 16 2048x512 kernel.forward 0.081807
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.104871
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.103147
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.103068
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.102093
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.102167
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.102067
PRICE optskip_noshadow_rows16 16 2048x512 kernel.backward 0.102254
PRICE optskip_noshadow_rows16 16 2048x512 host.forward 0.610601
PRICE optskip_noshadow_rows16 16 2048x512 host.forward 0.60823
PRICE optskip_noshadow_rows16 16 2048x512 host.forward 0.598507
PRICE optskip_noshadow_rows16 16 2048x512 host.backward 1.156345
PRICE optskip_noshadow_rows16 16 2048x512 host.backward 1.282355
PRICE optskip_noshadow_rows16 16 2048x512 host.backward 1.127783
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.188117
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.191009
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.187869
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.190833
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.194448
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.188861
PRICE optskip_noshadow_rows16 16 8192x768 kernel.forward 0.190799
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.239293
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.241168
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.238737
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.237766
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.237468
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.238359
PRICE optskip_noshadow_rows16 16 8192x768 kernel.backward 0.238287
PRICE optskip_noshadow_rows16 16 8192x768 host.forward 3.269528
PRICE optskip_noshadow_rows16 16 8192x768 host.forward 3.291022
PRICE optskip_noshadow_rows16 16 8192x768 host.forward 3.007041
PRICE optskip_noshadow_rows16 16 8192x768 host.backward 6.314924
PRICE optskip_noshadow_rows16 16 8192x768 host.backward 6.271728
PRICE optskip_noshadow_rows16 16 8192x768 host.backward 5.783661
8321 external/tcmalloc+/tcmalloc/internal/system_allocator.h:713] Warning: Unable to mbind memory (errno=1, base=0x526d80000000, nodemask=1)
ARM shipped rows 0 mode IDENTICAL
PRICE shipped 0 512x64 kernel.forward 0.028489
PRICE shipped 0 512x64 kernel.forward 0.026296
PRICE shipped 0 512x64 kernel.forward 0.026007
PRICE shipped 0 512x64 kernel.forward 0.026737
PRICE shipped 0 512x64 kernel.forward 0.02599
PRICE shipped 0 512x64 kernel.forward 0.025993
PRICE shipped 0 512x64 kernel.forward 0.026939
PRICE shipped 0 512x64 kernel.backward 0.059867
PRICE shipped 0 512x64 kernel.backward 0.057694
PRICE shipped 0 512x64 kernel.backward 0.056668
PRICE shipped 0 512x64 kernel.backward 0.056911
PRICE shipped 0 512x64 kernel.backward 0.057877
PRICE shipped 0 512x64 kernel.backward 0.058201
PRICE shipped 0 512x64 kernel.backward 0.059397
PRICE shipped 0 512x64 host.forward 0.083506
PRICE shipped 0 512x64 host.forward 0.072496
PRICE shipped 0 512x64 host.forward 0.074392
PRICE shipped 0 512x64 host.backward 0.200987
PRICE shipped 0 512x64 host.backward 0.174093
PRICE shipped 0 512x64 host.backward 0.180913
PRICE shipped 0 2048x512 kernel.forward 0.148231
PRICE shipped 0 2048x512 kernel.forward 0.147387
PRICE shipped 0 2048x512 kernel.forward 0.149487
PRICE shipped 0 2048x512 kernel.forward 0.148637
PRICE shipped 0 2048x512 kernel.forward 0.148094
PRICE shipped 0 2048x512 kernel.forward 0.149097
PRICE shipped 0 2048x512 kernel.forward 0.147527
PRICE shipped 0 2048x512 kernel.backward 0.148414
PRICE shipped 0 2048x512 kernel.backward 0.146854
PRICE shipped 0 2048x512 kernel.backward 0.146851
PRICE shipped 0 2048x512 kernel.backward 0.14633
PRICE shipped 0 2048x512 kernel.backward 0.146531
PRICE shipped 0 2048x512 kernel.backward 0.145915
PRICE shipped 0 2048x512 kernel.backward 0.146473
PRICE shipped 0 2048x512 host.forward 0.661851
PRICE shipped 0 2048x512 host.forward 0.650591
PRICE shipped 0 2048x512 host.forward 0.644563
PRICE shipped 0 2048x512 host.backward 1.222718
PRICE shipped 0 2048x512 host.backward 1.194196
PRICE shipped 0 2048x512 host.backward 1.18442
PRICE shipped 0 8192x768 kernel.forward 0.286423
PRICE shipped 0 8192x768 kernel.forward 0.273898
PRICE shipped 0 8192x768 kernel.forward 0.274535
PRICE shipped 0 8192x768 kernel.forward 0.271186
PRICE shipped 0 8192x768 kernel.forward 0.279169
PRICE shipped 0 8192x768 kernel.forward 0.277049
PRICE shipped 0 8192x768 kernel.forward 0.27496
PRICE shipped 0 8192x768 kernel.backward 0.284157
PRICE shipped 0 8192x768 kernel.backward 0.284733
PRICE shipped 0 8192x768 kernel.backward 0.283603
PRICE shipped 0 8192x768 kernel.backward 0.284887
PRICE shipped 0 8192x768 kernel.backward 0.285105
PRICE shipped 0 8192x768 kernel.backward 0.285161
PRICE shipped 0 8192x768 kernel.backward 0.285614
PRICE shipped 0 8192x768 host.forward 5.010007
PRICE shipped 0 8192x768 host.forward 3.569026
PRICE shipped 0 8192x768 host.forward 3.079951
PRICE shipped 0 8192x768 host.backward 7.150987
PRICE shipped 0 8192x768 host.backward 7.842165
PRICE shipped 0 8192x768 host.backward 7.233956
